"id","eventid","source","displaypath","priority","eventtype","eventflags","eventtime"
5967411,"85d2da90-e60a-4dbf-9cca-3c79f48865aa",prov:default:/tag:L2/Monorail/Trolley_3/gastTrolley_ErXX_destinationFault:/alm:Alarm,Trolley 3 Error ,3,2,20,2024-05-22 14:31:26.487
5967413,d87f7cd2-d339-4539-95be-de6326e29338,prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_081:/alm:Alarm,GantrySystem1_AlarmLPF1_081,3,2,20,2024-05-22 14:31:25.990
5967414,"5ffbd06f-eb45-4d72-9b88-88230176b079",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_081:/alm:Alarm,GantrySystem1_AlarmLPF1_081,3,0,0,2024-05-22 14:31:25.990
5967415,"2f637d84-0eb7-48ec-b614-1199aea624fb",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_084:/alm:Alarm,GantrySystem1_AlarmLPF1_084,3,2,20,2024-05-22 14:31:25.990
5967416,"27fa8b88-9c50-4333-af20-ff1db5b93fdf",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_084:/alm:Alarm,GantrySystem1_AlarmLPF1_084,3,0,0,2024-05-22 14:31:25.990
5967417,"5455336f-a22a-4fc1-8c19-cafa2a8b7ec9",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_040:/alm:Alarm,GantrySystem1_AlarmLPF1_040,3,1,16,2024-05-22 14:31:25.990
5967418,"5cae9a19-bf0e-45be-895e-f18f8199b1d3",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_039:/alm:Alarm,GantrySystem1_AlarmLPF1_039,3,1,16,2024-05-22 14:31:25.990
5967419,"48a2696d-cdd0-4a67-89b0-d2dd5b0102f9",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_038:/alm:Alarm,GantrySystem1_AlarmLPF1_038,3,1,16,2024-05-22 14:31:25.990
5967420,"3ca55e52-176a-421a-a5a4-414befdb13fc",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_037:/alm:Alarm,GantrySystem1_AlarmLPF1_037,3,1,16,2024-05-22 14:31:25.990
5967421,"044a0142-cbc6-4374-b6ae-077c0de6abab",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_043:/alm:Alarm,GantrySystem1_AlarmLPF1_043,3,1,16,2024-05-22 14:31:25.990
5967422,"239fe8cc-b217-45ca-9261-7c6a38f638c7",prov:default:/tag:L2/Riantics/GantrySystem1_Alarm/LPF1_070:/alm:Alarm,GantrySystem1_AlarmLPF1_070,3,2,20,2024-05-22 14:31:25.990
